sale_id,sale_date,product_id,quantity,customer_id,total_amount,rating
2609,09/01/2023,24,5,1,2500,5
2716,09/04/2023,24,10,1,5000,4
3025,09/14/2023,24,14,1,7050,5
3581,10/02/2023,4,10,1,6000,5
4504,11/04/2023,5,12,1,5400,4
5079,11/23/2023,8,11,1,8250,5
5452,12/05/2023,9,17,1,11900,4
6630,01/15/2024,4,8,1,4800,5
7322,02/10/2024,1,7,1,2450,4
7357,02/11/2024,1,14,1,4900,4
9069,04/24/2024,4,5,1,3000,4
10138,09/03/2024,2,5,1,4500,5
10349,09/27/2024,3,19,1,4750,5
375,02/06/2023,11,19,1,10450,4
484,02/16/2023,3,18,1,4525,4
734,03/08/2023,26,17,1,15300,5
1787,06/11/2023,13,15,1,6750,4
1896,06/24/2023,21,10,1,6500,4
2207,07/23/2023,22,19,1,7600,5
2352,08/07/2023,24,5,1,2500,4
2430,08/14/2023,24,18,1,9000,5
3038,09/15/2023,22,9,1,3600,4
3052,09/15/2023,24,14,1,7000,4
3082,09/16/2023,23,6,1,1500,4
3444,09/28/2023,21,5,1,3250,4
5913,12/22/2023,14,11,1,3520,4
6428,01/08/2024,14,8,1,2560,5
135,01/16/2023,7,8,1,12000,5
158,01/18/2023,3,17,1,4250,4
193,01/21/2023,24,15,1,7500,4
1217,04/23/2023,1,6,1,2100,4
1302,04/30/2023,13,9,1,4050,4
1490,05/16/2023,2,15,1,13500,5
1813,06/14/2023,19,20,1,6000,4
1825,06/15/2023,17,17,1,10200,5
1830,06/16/2023,1,19,1,6650,4
2155,07/20/2023,2,18,1,16200,4
4975,11/19/2023,8,5,1,3750,5
2107,07/16/2023,2,10,1,9000,5
766,03/11/2023,11,12,1,6600,4
1150,04/15/2023,23,19,1,4750,4
1661,06/01/2023,14,16,1,5120,4
6687,01/17/2024,4,7,1,4200,5
6921,01/26/2024,2,16,1,14400,5
7933,03/01/2024,2,15,1,13500,5
9853,07/29/2024,1,10,1,3500,5
4888,11/17/2023,1,17,1,5950,5
